item,itemLabel,LIMA_media_artist_ID
http://www.wikidata.org/entity/Q7535651,Skip Blumberg,4079
http://www.wikidata.org/entity/Q106619937,Paul Müller,9950
http://www.wikidata.org/entity/Q15876744,Ina Iris Eichenberg,15912
http://www.wikidata.org/entity/Q106619892,David Garcia,4379
http://www.wikidata.org/entity/Q1970102,Anthon Beeke,392
http://www.wikidata.org/entity/Q1995328,Bill Spinhoven,2097
http://www.wikidata.org/entity/Q106620473,MST,13137
http://www.wikidata.org/entity/Q18516715,Martijn Veldhoen,75
http://www.wikidata.org/entity/Q55218052,Ernest Gusella,3636
http://www.wikidata.org/entity/Q55219661,Yasuo Shinohara,4266
http://www.wikidata.org/entity/Q55219136,Ken Kobland,4192
http://www.wikidata.org/entity/Q55235736,Slobodan Jokić,42
http://www.wikidata.org/entity/Q106619625,Lernert & Sander,15576
http://www.wikidata.org/entity/Q11575342,Koki Tanaka,17131
http://www.wikidata.org/entity/Q106619873,Robert Joseph,3948
http://www.wikidata.org/entity/Q96947642,Yvonne Oerlemans,56
http://www.wikidata.org/entity/Q96947342,Marieken Verheyen,2257
http://www.wikidata.org/entity/Q96986787,Han Bierman,442
http://www.wikidata.org/entity/Q2669704,Louis van Gasteren,869
http://www.wikidata.org/entity/Q2785630,Maurice Nio,53
http://www.wikidata.org/entity/Q6844370,Michel Cardena,18
http://www.wikidata.org/entity/Q106620448,NOX,146
http://www.wikidata.org/entity/Q23639408,John Sanborn,1950
http://www.wikidata.org/entity/Q2926498,Erik van Lieshout,13487
http://www.wikidata.org/entity/Q106619808,Stephen s' Soreff,3710
http://www.wikidata.org/entity/Q106619733,Fransje Jepkes,1189
http://www.wikidata.org/entity/Q106619735,Vic Joseph,1209
http://www.wikidata.org/entity/Q106619995,Naoko Kuratsuka,15947
http://www.wikidata.org/entity/Q106619868,Leonie Bodeving,3937
http://www.wikidata.org/entity/Q106619918,Marjo Schumans,6113
http://www.wikidata.org/entity/Q106619789,Tony Thijssen,2177
http://www.wikidata.org/entity/Q106619814,Arthur Berkhoff,3767
http://www.wikidata.org/entity/Q106620451,Memory of Your Nose,2917
http://www.wikidata.org/entity/Q106619805,Jane Parish,3663
http://www.wikidata.org/entity/Q106619856,Irene Westholm,3886
http://www.wikidata.org/entity/Q106620463,Global Village,4242
http://www.wikidata.org/entity/Q106619799,Dan Dinello,3608
http://www.wikidata.org/entity/Q106620482,Digital Methods Initiative,15971
http://www.wikidata.org/entity/Q106619828,Susan Russel,3823
http://www.wikidata.org/entity/Q106619917,Pia Wergius,5885
http://www.wikidata.org/entity/Q106620001,Helen Zeru,16350
http://www.wikidata.org/entity/Q106620459,Beeldend Theater,3784
http://www.wikidata.org/entity/Q106620457,Viduo,3723
http://www.wikidata.org/entity/Q106619953,Sonia Cillari,13483
http://www.wikidata.org/entity/Q106619996,flyingCity,15968
http://www.wikidata.org/entity/Q106619960,Tom DeWitt,14443
http://www.wikidata.org/entity/Q106619943,Sami Kallinen,12059
http://www.wikidata.org/entity/Q106619947,Rä di Martino,12931
http://www.wikidata.org/entity/Q7031377,Niek Kemps,3950
http://www.wikidata.org/entity/Q106620019,Jacob Dwyer,17006
http://www.wikidata.org/entity/Q97396782,Saskia Lupini,3951
http://www.wikidata.org/entity/Q19592294,Jennifer Pastor,16951
http://www.wikidata.org/entity/Q3047169,Ed Emshwiller,3621
http://www.wikidata.org/entity/Q3159599,Jacques Monory,15920
http://www.wikidata.org/entity/Q7183418,Philip Dadson,15938
http://www.wikidata.org/entity/Q3176729,Jeffrey Shaw,2028
http://www.wikidata.org/entity/Q28124166,Lawrence Abu Hamdan,17124
http://www.wikidata.org/entity/Q19863320,Cristina Lucas,13768
http://www.wikidata.org/entity/Q15729390,Renzo Martens,12091
http://www.wikidata.org/entity/Q106308113,Aysha Quinn,3688
http://www.wikidata.org/entity/Q19938358,Ed Atkins,16996
http://www.wikidata.org/entity/Q7456580,Seth Price,9062
http://www.wikidata.org/entity/Q77350296,John Sturgeon,70
http://www.wikidata.org/entity/Q15874532,Dinie Besems,15908
http://www.wikidata.org/entity/Q15877673,Louise Antonia Maria de Wolf,3954
http://www.wikidata.org/entity/Q20088703,Toos Nijssen,16938
http://www.wikidata.org/entity/Q5075231,Charles Atlas,4094
http://www.wikidata.org/entity/Q106619620,Jayce Salloum & Elia Suleiman,14425
http://www.wikidata.org/entity/Q106619624,Benny Nemerofsky Ramsay & Aleesa Cohene,15518
http://www.wikidata.org/entity/Q73413874,Bob Lens,3883
http://www.wikidata.org/entity/Q11934997,Manuel Saiz,11936
http://www.wikidata.org/entity/Q16107272,Juan Davila,3876
http://www.wikidata.org/entity/Q3737030,Jaan Toomik,12777
http://www.wikidata.org/entity/Q90216,Gerry Schum,3837
http://www.wikidata.org/entity/Q472557,Jannis Kounellis,3777
http://www.wikidata.org/entity/Q158056,Nam June Paik,1734
http://www.wikidata.org/entity/Q28792361,Alison O'Daniel,13481
http://www.wikidata.org/entity/Q52825379,Ezra Eeman,11241
http://www.wikidata.org/entity/Q221732,Paul Mccarthy,9743
http://www.wikidata.org/entity/Q65426415,David Flipse,4253
http://www.wikidata.org/entity/Q283498,General Idea,6730
http://www.wikidata.org/entity/Q320241,Rodney Graham,13769
http://www.wikidata.org/entity/Q29054300,Thierry Kuntzel,1390
http://www.wikidata.org/entity/Q437616,Bill Viola,79
http://www.wikidata.org/entity/Q16660321,Rose Finn-Kelcey,820
http://www.wikidata.org/entity/Q98761643,Mick Hartney,1001
http://www.wikidata.org/entity/Q720832,Chris Burden,3780
http://www.wikidata.org/entity/Q94785536,Ernst Mitzka,12606
http://www.wikidata.org/entity/Q17017434,Bernadette Corporation,16912
http://www.wikidata.org/entity/Q571399,Tony Oursler,1725
http://www.wikidata.org/entity/Q29553998,Sara Rajaei,12833
http://www.wikidata.org/entity/Q29556724,Paulien Oltheten,13891
http://www.wikidata.org/entity/Q21289134,Irene Fortuyn,4030
http://www.wikidata.org/entity/Q828254,Liam Gillick,13777
http://www.wikidata.org/entity/Q874901,Stanley Brouwn,4016
http://www.wikidata.org/entity/Q55235747,De Geuzen,15110
http://www.wikidata.org/entity/Q1146699,Rainer Ruthenbeck,4224
http://www.wikidata.org/entity/Q5387731,Eric Wesley,16916
http://www.wikidata.org/entity/Q99943191,Rick Buckley,566
http://www.wikidata.org/entity/Q55236175,Marie André,4090
http://www.wikidata.org/entity/Q1631809,Howard Fried,15941
http://www.wikidata.org/entity/Q55634001,Steve Hawley,6418
http://www.wikidata.org/entity/Q29422164,Gerco de Ruijter,16885
http://www.wikidata.org/entity/Q807360,Barbara Bloom,4228
http://www.wikidata.org/entity/Q1078617,Christiaan Bastiaans,378
http://www.wikidata.org/entity/Q1097915,Claudia von Alemann,4120
http://www.wikidata.org/entity/Q106619604,Boegel & Holtappels,5655
http://www.wikidata.org/entity/Q7608689,Stephan Beck,14439
http://www.wikidata.org/entity/Q13539263,Matt Mullican,13783
http://www.wikidata.org/entity/Q106619700,Robert Hamilton,33
http://www.wikidata.org/entity/Q6723636,Machine,15917
http://www.wikidata.org/entity/Q13856456,Mieke Gerritzen,13473
http://www.wikidata.org/entity/Q1600075,Heinz Breloh,6468
http://www.wikidata.org/entity/Q22237222,Liza May Post,1813
http://www.wikidata.org/entity/Q1739226,Keren Cytter,14311
http://www.wikidata.org/entity/Q47496,Marina Abramović,4498
http://www.wikidata.org/entity/Q26758628,Herbert Wentscher,2388
http://www.wikidata.org/entity/Q1964408,Nan Hoover,38
http://www.wikidata.org/entity/Q14494706,Titia Ex,3844
http://www.wikidata.org/entity/Q21544337,Michael Gibbs,897
http://www.wikidata.org/entity/Q23071756,Stuart Marshall,3816
http://www.wikidata.org/entity/Q321245,Richard Serra,3911
http://www.wikidata.org/entity/Q85096485,Claude Gaçon,3802
http://www.wikidata.org/entity/Q706475,Steve McQueen,13785
http://www.wikidata.org/entity/Q106619636,Eric Bell & Kristoffer Frick,16954
http://www.wikidata.org/entity/Q106620449,Randelli,1846
http://www.wikidata.org/entity/Q23664322,Helen Marten,16994
http://www.wikidata.org/entity/Q2920487,Nederlands Instituut voor Mediakunst,3668
http://www.wikidata.org/entity/Q19502520,Harrie de Kroon,1344
http://www.wikidata.org/entity/Q67547,Harun Farocki,13422
http://www.wikidata.org/entity/Q3019322,Oscar van Alphen,313
http://www.wikidata.org/entity/Q106619584,Hank Bull & Eric Metcalfe,15
http://www.wikidata.org/entity/Q106619728,Iris Hever,1062
http://www.wikidata.org/entity/Q106619705,Merel Mirage,51
http://www.wikidata.org/entity/Q106619796,Jeroen Wilhelmus,2416
http://www.wikidata.org/entity/Q106619802,Dov Eylath,3626
http://www.wikidata.org/entity/Q106619991,Clarke/Shephard,15937
http://www.wikidata.org/entity/Q106619931,Marcus Kreiss,8950
